2026-05-08 10:02:42,015 INFO    MainThread:17308 [wandb_setup.py:_flush():81] Current SDK version is 0.21.4
2026-05-08 10:02:42,016 INFO    MainThread:17308 [wandb_setup.py:_flush():81] Configure stats pid to 17308
2026-05-08 10:02:42,016 INFO    MainThread:17308 [wandb_setup.py:_flush():81] Loading settings from /home/swagat/.config/wandb/settings
2026-05-08 10:02:42,016 INFO    MainThread:17308 [wandb_setup.py:_flush():81] Loading settings from /home/swagat/GIT/efficient_vla/wandb/settings
2026-05-08 10:02:42,016 INFO    MainThread:17308 [wandb_setup.py:_flush():81] Loading settings from environment variables
2026-05-08 10:02:42,016 INFO    MainThread:17308 [wandb_init.py:setup_run_log_directory():686] Logging user logs to /home/swagat/GIT/efficient_vla/wandb/run-20260508_100242-9gn58tef/logs/debug.log
2026-05-08 10:02:42,016 INFO    MainThread:17308 [wandb_init.py:setup_run_log_directory():687] Logging internal logs to /home/swagat/GIT/efficient_vla/wandb/run-20260508_100242-9gn58tef/logs/debug-internal.log
2026-05-08 10:02:42,016 INFO    MainThread:17308 [wandb_init.py:init():813] calling init triggers
2026-05-08 10:02:42,016 INFO    MainThread:17308 [wandb_init.py:init():818] wandb.init called with sweep_config: {}
config: {'learning_rate': 0.0001, 'ppo_epochs': 4, 'bc_anchor_coef': 0.5, 'num_episodes': 100, 'max_steps': 520, 'task_name': 'libero_10', '_wandb': {}}
2026-05-08 10:02:42,016 INFO    MainThread:17308 [wandb_init.py:init():854] starting backend
2026-05-08 10:02:42,232 INFO    MainThread:17308 [wandb_init.py:init():857] sending inform_init request
2026-05-08 10:02:42,243 INFO    MainThread:17308 [wandb_init.py:init():865] backend started and connected
2026-05-08 10:02:42,244 INFO    MainThread:17308 [wandb_init.py:init():936] updated telemetry
2026-05-08 10:02:42,247 INFO    MainThread:17308 [wandb_init.py:init():960] communicating run to backend with 90.0 second timeout
2026-05-08 10:02:43,144 INFO    MainThread:17308 [wandb_init.py:init():1006] run resumed
2026-05-08 10:02:43,145 INFO    MainThread:17308 [wandb_init.py:init():1011] starting run threads in backend
2026-05-08 10:02:43,234 INFO    MainThread:17308 [wandb_run.py:_console_start():2506] atexit reg
2026-05-08 10:02:43,234 INFO    MainThread:17308 [wandb_run.py:_redirect():2354] redirect: wrap_raw
2026-05-08 10:02:43,234 INFO    MainThread:17308 [wandb_run.py:_redirect():2423] Wrapping output streams.
2026-05-08 10:02:43,234 INFO    MainThread:17308 [wandb_run.py:_redirect():2446] Redirects installed.
2026-05-08 10:02:43,236 INFO    MainThread:17308 [wandb_init.py:init():1049] run started, returning control to user process
